city,country
cape town,south africa
durban,south africa
johannesburg,south africa
pretoria,south africa
port elizabeth,south africa
bloemfontein,south africa
east london,south africa
pietermaritzburg,south africa
benoni,south africa
tembisa,south africa
soweto,south africa
umlazi,south africa
boksburg,south africa
vereeniging,south africa
vienna,austria
graz,austria
linz,austria
salzburg,austria
innsbruck,austria
klagenfurt,austria
villach,austria
wels,austria
munich,germany
hamburg,germany
cologne,germany
frankfurt,germany
stuttgart,germany
dortmund,germany
essen,germany
bremen,germany
